date,date_str,Tmax_día_x,Tmin_día_x,Tmedia_día_x,ΔTmax_1d,MA_Tmax_3d,DTR_x,HR_media_día_x,Punto_de_rocío_día_x (Td),Presión_media_día_x (SLP),ΔPresión_24h,Viento_vel_media_día_x,Viento_dir_sin(x),Viento_dir_cos(x),Nubosidad_media_día_x,Precipitación_acum_día_x,t_max_x+1,ciudad,doy_sin,doy_cos
2019-06-29,29-06-19,34.4,24.4,29.4,0.5,33.5,10.0,77.0,21.3,1011.0,-6.0,3.41,-0.913545457642601,-0.4067366430758001,85.0,1.4,29.4,new york,0.04514101777397193,-0.9989806246941579
2019-06-30,30-06-19,29.4,21.7,25.549999999999997,-5.0,32.56666666666667,7.699999999999999,63.0,16.1,1005.1,-5.899999999999977,5.34,-0.7431448254773946,0.6691306063588578,19.0,0.0,31.1,new york,0.02795029824021032,-0.999609314096404
2019-07-01,01-07-19,31.1,19.4,25.25,1.7000000000000028,31.633333333333336,11.700000000000003,59.0,14.6,1008.8,3.699999999999932,3.43,-0.7547095802227722,0.656059028990507,29.0,0.0,31.1,new york,0.01075130776352193,-0.9999422030204416
2019-07-02,02-07-19,31.1,23.9,27.5,0.0,30.53333333333333,7.200000000000003,71.0,18.9,1006.0,-2.7999999999999545,2.87,-0.9993908270190958,-0.03489949670250076,49.0,0.4,30.6,new york,-0.00645086419810515,-0.9999791929590823
2019-07-03,03-07-19,30.6,23.9,27.25,-0.5,30.933333333333337,6.700000000000003,77.0,21.4,1007.3,1.2999999999999545,1.95,-0.874619707139396,-0.48480962024633684,69.0,0.7,33.9,new york,-0.023651127245231586,-0.9997202729664083
2019-07-04,04-07-19,33.9,21.7,27.799999999999997,3.299999999999997,31.866666666666664,12.2,81.0,21.5,1013.9,6.600000000000023,2.52,0.6018150231520482,-0.7986355100472929,60.0,0.0,29.4,new york,-0.04084439154329611,-0.9991655196610109
2019-07-05,05-07-19,29.4,22.2,25.799999999999997,-4.5,31.3,7.199999999999999,88.0,21.8,1016.0,2.1000000000000227,2.88,0.5150380749100544,-0.8571673007021122,96.0,0.5,33.9,new york,-0.05802556932878035,-0.9983150972033183
2019-07-06,06-07-19,33.9,24.4,29.15,4.5,32.4,9.5,86.0,23.6,1009.4,-6.600000000000023,2.87,-0.7880107536067221,-0.6156614753256581,92.0,8.4,29.4,new york,-0.07518957641475855,-0.9971692572470178
2019-07-07,07-07-19,29.4,22.8,26.1,-4.5,30.899999999999995,6.599999999999998,81.0,20.8,1008.7,-0.6999999999999318,3.41,0.9612616959383189,0.27563735581699916,78.0,2.3,27.8,new york,-0.09233133369539122,-0.9957283388645872
2019-07-08,08-07-19,27.8,20.6,24.200000000000003,-1.5999999999999979,30.366666666666664,7.199999999999999,82.0,18.6,1011.4,2.699999999999932,1.7,0.24192189559966773,-0.9702957262759965,68.0,11.2,31.7,new york,-0.10944576864891556,-0.993992768446958
2019-07-09,09-07-19,31.7,21.7,26.7,3.8999999999999986,29.633333333333336,10.0,70.0,18.5,1012.8,1.3999999999999773,2.09,-0.9563047559630354,0.2923717047227367,36.0,0.0,32.8,new york,-0.12652781683868314,-0.9919630595773397
2019-07-10,10-07-19,32.8,23.3,28.049999999999997,1.0999999999999979,30.766666666666666,9.499999999999996,72.0,20.2,1012.6,-0.1999999999999318,2.54,-0.5150380749100542,-0.8571673007021123,68.0,0.0,30.0,new york,-0.1435724234118113,-0.9896398128792412
2019-07-11,11-07-19,30.0,23.3,26.65,-2.799999999999997,31.5,6.699999999999999,81.0,21.0,1008.7,-3.8999999999999773,3.97,0.17364817766693028,-0.984807753012208,75.0,10.7,31.7,new york,-0.16057454459499376,-0.9870237158387383
2019-07-12,12-07-19,31.7,23.3,27.5,1.6999999999999993,31.5,8.399999999999999,74.0,20.0,1003.7,-5.0,3.59,-0.9135454576426011,0.40673664307579976,36.0,0.9,31.7,new york,-0.17752914918703497,-0.984115542601034
2019-07-13,13-07-19,31.7,22.2,26.95,0.0,31.133333333333336,9.5,69.0,18.5,1009.1,5.399999999999977,3.2,-0.9945218953682734,0.10452846326765299,2.0,0.0,33.3,new york,-0.19443122004766195,-0.9809161537413774
2019-07-14,14-07-19,33.3,25.6,29.45,1.5999999999999979,32.23333333333333,7.699999999999996,61.0,17.9,1009.7,0.6000000000000227,3.87,-0.898794046299167,0.4383711467890774,27.0,0.0,31.7,new york,-0.2112757555821793,-0.9774264960104055
2019-07-15,15-07-19,31.7,22.2,26.95,-1.5999999999999979,32.23333333333333,9.5,60.0,15.8,1013.5,3.7999999999999545,2.38,-0.8829475928589271,0.4694715627858904,57.0,0.0,34.4,new york,-0.2280577712215198,-0.9736476020539838
2019-07-16,16-07-19,34.4,22.8,28.6,2.6999999999999993,33.13333333333333,11.599999999999998,65.0,19.0,1013.3,-0.20000000000004547,2.83,-0.46947156278589086,-0.8829475928589269,53.0,0.1,35.0,new york,-0.24477230089725957,-0.9695805901076308
2019-07-17,17-07-19,35.0,22.8,28.9,0.6000000000000014,33.699999999999996,12.2,79.0,23.4,1010.0,-3.2999999999999545,2.97,-0.6819983600624984,-0.7313537016191706,77.0,20.5,25.6,new york,-0.2614143985111562,-0.965226663665613
2019-07-18,18-07-19,25.6,21.7,23.65,-9.399999999999999,31.666666666666668,3.900000000000002,90.0,23.0,1008.4,-1.6000000000000227,2.27,0.9396926207859083,0.3420201433256688,85.0,8.1,35.0,new york,-0.2779791393987801,-0.9605871111248129
2019-07-19,19-07-19,35.0,21.7,28.35,9.399999999999999,31.866666666666664,13.3,79.0,23.1,1007.8,-0.6000000000000227,2.77,-0.8571673007021121,-0.5150380749100545,88.0,0.0,37.2,new york,-0.2944616217868012,-0.9556633054034704
2019-07-20,20-07-19,37.2,28.3,32.75,2.200000000000003,32.6,8.900000000000002,75.0,24.5,1006.5,-1.2999999999999545,3.4,-0.9902680687415703,-0.13917310096006583,72.0,0.7,37.8,new york,-0.3108569682435036,-0.9504567035349151
2019-07-21,21-07-19,37.8,28.3,33.05,0.5999999999999943,36.666666666666664,9.499999999999996,72.0,23.9,1005.3,-1.2000000000000455,3.46,-0.9986295347545738,0.052335956242943946,38.0,0.1,32.8,new york,-0.3271603271220951,-0.9449688462364056
2019-07-22,22-07-19,32.8,23.3,28.049999999999997,-5.0,35.93333333333334,9.499999999999996,86.0,23.9,1005.3,0.0,2.52,0.6946583704589971,-0.7193398003386512,73.0,33.8,25.0,new york,-0.34336687399638804,-0.939201357453208
2019-07-23,23-07-19,25.0,20.0,22.5,-7.799999999999997,31.866666666666664,5.0,86.0,19.5,1006.2,0.900000000000091,2.8,-0.08715574274765832,0.9961946980917455,100.0,18.3,29.4,new york,-0.3594718130884232,-0.9331559438780432
2019-07-24,24-07-19,29.4,20.6,25.0,4.399999999999999,29.066666666666663,8.799999999999997,75.0,18.1,1010.1,3.8999999999999773,2.48,0.17364817766693033,0.984807753012208,60.0,0.7,30.0,new york,-0.3754703786876202,-0.9268343944460494
2019-07-25,25-07-19,30.0,22.2,26.1,0.6000000000000014,28.133333333333336,7.800000000000001,69.0,17.0,1015.5,5.399999999999977,1.95,-0.7193398003386512,0.6946583704589973,25.0,0.0,31.1,new york,-0.3913578365610259,-0.9202385798054075
2019-07-26,26-07-19,31.1,22.2,26.65,1.1000000000000014,30.166666666666668,8.900000000000002,70.0,18.0,1020.2,4.7000000000000455,1.85,-0.4539904997395467,-0.8910065241883679,12.0,0.0,30.6,new york,-0.4071294853542516,-0.9133704517637858
2019-07-27,27-07-19,30.6,23.9,27.25,-0.5,30.566666666666666,6.700000000000003,75.0,19.4,1019.9,-0.3000000000000682,2.74,-0.0348994967025009,-0.9993908270190958,19.0,0.0,33.9,new york,-0.4227806579826773,-0.9062320427107697
2019-07-28,28-07-19,33.9,23.9,28.9,3.299999999999997,31.866666666666664,10.0,69.0,19.7,1015.0,-4.899999999999977,3.42,-0.8191520442889916,-0.5735764363510464,23.0,0.0,34.4,new york,-0.4383067230125192,-0.898825465016444
2019-07-29,29-07-19,34.4,25.0,29.7,0.5,32.96666666666667,9.399999999999999,73.0,21.0,1011.9,-3.1000000000000227,2.87,-0.7880107536067221,-0.6156614753256581,27.0,0.7,35.0,new york,-0.45370308603134424,-0.8911529104063088
2019-07-30,30-07-19,35.0,27.2,31.1,0.6000000000000014,34.43333333333333,7.800000000000001,76.0,22.7,1011.5,-0.39999999999997726,2.98,-0.374606593415912,-0.9271838545667874,27.0,0.4,32.2,new york,-0.46896519100763184,-0.8832166493127127
2019-07-31,31-07-19,32.2,22.2,27.200000000000003,-2.799999999999997,33.86666666666667,10.000000000000004,79.0,21.7,1012.7,1.2000000000000455,1.4,-0.8987940462991668,-0.43837114678907774,66.0,12.0,31.1,new york,-0.48408852163897587,-0.8750190302029955
2019-08-01,01-08-19,31.1,22.8,26.950000000000003,-1.1000000000000014,32.766666666666666,8.3,69.0,18.9,1014.3,1.599999999999909,1.84,-0.7880107536067218,0.6156614753256585,68.0,0.0,31.1,new york,-0.4990686026885319,-0.8665624788845385
2019-08-02,02-08-19,31.1,22.8,26.950000000000003,0.0,31.46666666666667,8.3,73.0,19.7,1015.8,1.5,2.53,0.3090169943749475,-0.9510565162951535,67.0,0.1,31.7,new york,-0.5139010013093103,-0.8578494977869301
2019-08-03,03-08-19,31.7,21.1,26.4,0.5999999999999979,31.3,10.599999999999998,85.0,21.4,1012.4,-3.3999999999999773,2.3,-0.08715574274765794,-0.9961946980917455,45.0,2.0,31.1,new york,-0.5285813283559292,-0.8488826652214553
2019-08-04,04-08-19,31.1,21.7,26.4,-0.5999999999999979,31.3,9.400000000000002,72.0,19.6,1009.0,-3.3999999999999773,1.89,-0.4226182617406992,0.90630778703665,26.0,1.7,27.2,new york,-0.5431052396834317,-0.8396646346181327
2019-08-05,05-08-19,27.2,21.7,24.45,-3.900000000000002,30.0,5.5,73.0,18.5,1011.0,2.0,2.76,0.9925461516413221,-0.12186934340514737,89.0,0.0,28.3,new york,-0.5574684374327892,-0.8301981337405212
2019-08-06,06-08-19,28.3,22.2,25.25,1.1000000000000014,28.866666666666664,6.100000000000001,85.0,21.3,1008.0,-3.0,2.63,0.5591929034707469,-0.8290375725550416,77.0,1.1,30.6,new york,-0.5716666713027052,-0.8204859638785327
2019-08-07,07-08-19,30.6,21.1,25.85,2.3000000000000007,28.700000000000003,9.5,88.0,21.5,1005.7,-2.2999999999999545,3.0,-0.34202014332566866,-0.9396926207859084,79.0,17.9,33.3,new york,-0.5856957398073508,-0.8105309990194823
2019-08-08,08-08-19,33.3,21.1,27.2,2.6999999999999957,30.733333333333334,12.199999999999996,78.0,19.7,1003.1,-2.6000000000000227,3.05,-0.9205048534524403,-0.3907311284892738,31.0,0.4,30.6,new york,-0.5995514915196489,-0.8003361849976323
2019-08-09,09-08-19,30.6,22.2,26.4,-2.6999999999999957,31.5,8.400000000000002,63.0,16.2,1003.8,0.6999999999999318,3.19,-0.9396926207859083,0.342020143325669,15.0,0.3,28.3,new york,-0.6132298262997502,-0.7899045386224707
2019-08-10,10-08-19,28.3,21.1,24.700000000000003,-2.3000000000000007,30.733333333333334,7.199999999999999,56.0,13.1,1006.7,2.900000000000091,3.81,-0.8191520442889918,0.573576436351046,22.0,0.0,28.3,new york,-0.6267266965083301,-0.7792391467859886
2019-08-11,11-08-19,28.3,20.0,24.15,0.0,29.066666666666666,8.3,61.0,13.3,1011.8,5.099999999999909,2.49,-0.8829475928589271,0.4694715627858904,25.0,0.0,31.7,new york,-0.6400381082043503,-0.7683431655492202
2019-08-12,12-08-19,31.7,22.2,26.95,3.3999999999999986,29.433333333333334,9.5,67.0,16.2,1010.2,-1.599999999999909,3.35,-0.6691306063588582,-0.7431448254773942,40.0,0.0,26.7,new york,-0.65316012232693,-0.7572198192083127
2019-08-13,13-08-19,26.7,23.9,25.299999999999997,-5.0,28.900000000000002,2.8000000000000007,85.0,20.7,1005.9,-4.300000000000068,2.25,-0.6691306063588582,-0.7431448254773942,98.0,8.0,28.3,new york,-0.666088855860977,-0.7458723993404063
2019-08-14,14-08-19,28.3,22.2,25.25,1.6000000000000014,28.900000000000002,6.100000000000001,91.0,21.7,1006.4,0.5,1.74,0.7431448254773942,0.6691306063588582,64.0,10.1,29.4,new york,-0.6788204829862355,-0.734304263829602
2019-08-15,15-08-19,29.4,22.2,25.799999999999997,1.0999999999999979,28.13333333333333,7.199999999999999,85.0,20.1,1011.7,5.300000000000068,2.62,0.9396926207859084,-0.3420201433256687,49.0,1.1,28.3,new york,-0.6913512362094071,-0.722518835873311
2019-08-16,16-08-19,28.3,21.1,24.700000000000003,-1.0999999999999979,28.666666666666668,7.199999999999999,86.0,20.3,1012.7,1.0,2.42,0.7986355100472927,-0.6018150231520484,72.0,2.7,30.0,new york,-0.7036774074790128,-0.7105196029692745
2019-08-17,17-08-19,30.0,22.8,26.4,1.6999999999999993,29.233333333333334,7.199999999999999,91.0,22.6,1012.2,-0.5,2.26,0.8829475928589269,-0.4694715627858909,80.0,1.0,32.8,new york,-0.7157953492826642,-0.6983101158835584
2019-08-18,18-08-19,32.8,23.3,28.049999999999997,2.799999999999997,30.366666666666664,9.499999999999996,90.0,23.0,1012.0,-0.20000000000004547,2.12,0.15643446504023098,-0.9876883405951377,90.0,13.5,33.9,new york,-0.7277014757264236,-0.6858939875998223
2019-08-19,19-08-19,33.9,23.9,28.9,1.1000000000000014,32.23333333333333,10.0,83.0,22.9,1011.1,-0.8999999999999773,2.49,-0.838670567945424,-0.544639035015027,66.0,1.9,31.7,new york,-0.7393922635959241,-0.673274892250183
2019-08-20,20-08-19,31.7,24.4,28.049999999999997,-2.1999999999999993,32.800000000000004,7.300000000000001,76.0,20.4,1014.0,2.8999999999999773,2.6,0.48480962024633717,-0.8746197071393957,62.0,0.0,32.8,new york,-0.7508642533989489,-0.6604565640279754
2019-08-21,21-08-19,32.8,25.6,29.2,1.0999999999999979,32.8,7.199999999999996,84.0,23.0,1009.7,-4.2999999999999545,3.43,-0.46947156278589086,-0.8829475928589269,60.0,7.5,33.9,new york,-0.7621140503891487,-0.6474427960827475
2019-08-22,22-08-19,33.9,21.7,27.799999999999997,1.1000000000000014,32.800000000000004,12.2,77.0,21.7,1007.7,-2.0,2.61,-0.9563047559630353,-0.2923717047227371,72.0,8.1,24.4,new york,-0.7731383255706026,-0.6342374393978054
2019-08-23,23-08-19,24.4,18.9,21.65,-9.5,30.366666666666664,5.5,83.0,18.0,1011.8,4.099999999999909,2.41,-0.5591929034707466,0.8290375725550418,80.0,14.0,25.0,new york,-0.7839338166829201,-0.620844401650647
2019-08-24,24-08-19,25.0,17.8,21.4,0.6000000000000014,27.766666666666666,7.199999999999999,62.0,12.6,1017.4,5.600000000000023,3.44,0.17364817766693033,0.984807753012208,32.0,0.0,25.0,new york,-0.7944973291665992,-0.6072676460566135
2019-08-25,25-08-19,25.0,18.9,21.95,0.0,24.8,6.100000000000001,69.0,14.2,1020.1,2.7000000000000455,4.81,0.8090169943749475,0.5877852522924731,32.0,0.0,23.3,new york,-0.8048257371083452,-0.593511190196115
2019-08-26,26-08-19,23.3,16.1,19.700000000000003,-1.6999999999999993,24.433333333333334,7.199999999999999,74.0,13.8,1018.5,-1.6000000000000227,3.33,0.8571673007021123,0.5150380749100542,43.0,0.0,24.4,new york,-0.8149159841660791,-0.5795791048257612
2019-08-27,27-08-19,24.4,18.3,21.35,1.0999999999999979,24.233333333333334,6.099999999999998,79.0,15.5,1014.4,-4.100000000000023,2.21,0.8191520442889917,-0.5735764363510462,96.0,0.0,24.4,new york,-0.8247650844733614,-0.5654755126737576
2019-08-28,28-08-19,24.4,20.6,22.5,0.0,24.03333333333333,3.799999999999997,91.0,19.3,1008.4,-6.0,2.1,0.7771459614569709,0.6293203910498375,81.0,11.3,28.9,new york,-0.8343701235229537,-0.5512045872199277
2019-08-29,29-08-19,28.9,20.6,24.75,4.5,25.900000000000002,8.299999999999997,68.0,15.3,1008.4,0.0,3.81,-0.7431448254773946,0.6691306063588578,8.0,0.0,31.7,new york,-0.8437282590292712,-0.5367705514607103
2019-08-30,30-08-19,31.7,21.1,26.4,2.8000000000000007,28.333333333333332,10.599999999999998,65.0,15.6,1012.4,4.0,3.5,-0.9335804264972016,-0.3583679495453007,11.0,0.0,27.8,new york,-0.8528367217694595,-0.522177676659508
2019-08-31,31-08-19,27.8,21.7,24.75,-3.8999999999999986,29.46666666666667,6.100000000000001,61.0,13.9,1018.7,6.300000000000068,3.0,-0.05233595624294437,0.9986295347545738,77.0,0.0,25.6,new york,-0.8616928164028521,-0.5074302810827518
2019-09-01,01-09-19,25.6,18.3,21.950000000000003,-2.1999999999999993,28.366666666666664,7.300000000000001,70.0,15.0,1022.1,3.3999999999999773,3.72,0.9396926207859084,-0.3420201433256687,71.0,0.0,26.1,new york,-0.8702939222685674,-0.49253272872205434
2019-09-02,02-09-19,26.1,21.1,23.6,0.5,26.5,5.0,86.0,19.4,1014.0,-8.100000000000023,3.34,-0.08715574274765794,-0.9961946980917455,77.0,8.4,27.8,new york,-0.8786374941610001,-0.4774894280028391
2019-09-03,03-09-19,27.8,20.6,24.200000000000003,1.6999999999999993,26.5,7.199999999999999,77.0,17.2,1012.9,-1.1000000000000227,2.59,0.754709580222772,0.6560590289905073,8.0,0.0,31.7,new york,-0.886721063082993,-0.46230483047981086
2019-09-04,04-09-19,31.7,21.1,26.4,3.8999999999999986,28.53333333333333,10.599999999999998,80.0,19.8,1010.0,-2.8999999999999773,3.88,-0.7986355100472928,-0.6018150231520483,31.0,1.8,23.3,new york,-0.8945422369764496,-0.4469834295196741
2019-09-05,05-09-19,23.3,18.3,20.8,-8.399999999999999,27.600000000000005,5.0,73.0,15.0,1013.9,3.8999999999999773,2.55,0.573576436351046,0.8191520442889918,97.0,0.0,20.6,new york,-0.9020987014301837,-0.43152975897147144
2019-09-06,06-09-19,20.6,15.6,18.1,-2.6999999999999993,25.200000000000003,5.000000000000002,80.0,14.5,1008.2,-5.699999999999932,5.37,0.6427876096865393,0.766044443118978,100.0,3.2,25.0,new york,-0.9093882203647925,-0.4159483918249421
2019-09-07,07-09-19,25.0,14.4,19.7,4.399999999999999,22.96666666666667,10.6,70.0,12.6,1005.8,-2.400000000000091,4.23,-0.6156614753256582,0.788010753606722,42.0,6.6,26.1,new york,-0.9164086366943458,-0.4002439388573056
2019-09-08,08-09-19,26.1,19.4,22.75,1.1000000000000014,23.900000000000002,6.700000000000003,72.0,14.5,1013.1,7.300000000000068,2.59,-0.9702957262759966,0.24192189559966745,59.0,0.0,25.0,new york,-0.9231578729647039,-0.38442104726885545
2019-09-09,09-09-19,25.0,18.9,21.95,-1.1000000000000014,25.366666666666664,6.100000000000001,76.0,15.8,1019.6,6.5,2.49,0.8910065241883678,0.4539904997395468,59.0,1.6,25.6,new york,-0.9296339319682695,-0.3684843993077793
2019-09-10,10-09-19,25.6,20.0,22.8,0.6000000000000014,25.566666666666666,5.600000000000001,86.0,18.4,1022.4,2.7999999999999545,3.38,0.2923717047227366,-0.9563047559630355,47.0,0.5,32.8,new york,-0.9358348973349941,-0.35243871088460327
2019-09-11,11-09-19,32.8,21.1,26.95,7.199999999999996,27.8,11.699999999999996,77.0,20.2,1016.3,-6.100000000000023,3.93,-0.7660444431189779,-0.6427876096865395,63.0,0.1,28.3,new york,-0.9417589340994617,-0.33628873017668287
2019-09-12,12-09-19,28.3,17.8,23.05,-4.4999999999999964,28.900000000000002,10.5,89.0,20.3,1015.3,-1.0,3.52,0.29237170472273677,0.9563047559630354,75.0,7.8,22.8,new york,-0.9474042892438845,-0.32003923622313857
2019-09-13,13-09-19,22.8,15.6,19.2,-5.5,27.96666666666667,7.200000000000001,70.0,11.7,1025.9,10.600000000000136,4.32,0.9998476951563913,-0.017452406437283477,70.0,0.0,25.6,new york,-0.9527692922168511,-0.30369503751065885
2019-09-14,14-09-19,25.6,17.2,21.4,2.8000000000000007,25.566666666666666,8.400000000000002,76.0,16.2,1020.8,-5.100000000000136,3.84,0.03489949670250114,-0.9993908270190958,69.0,0.0,29.4,new york,-0.9578523554276669,-0.28726097055059635
