feature_a,feature_b,pearson_corr
Tmin_so_far_23h_x,Td_mean_00_23h_x,0.9426404982312891
MA_Tmax_3d_asof_23h,Temp_max_last_6h,0.9424500011050235
climatology_tmax_p90_doy,tmax_ma7_completed,0.9424351646635998
tmax_max7_completed,tmin_ma7_completed,0.9424282381467893
climatology_tmax_doy,tmax_min7_completed,0.9423353730448952
tmin_lag3,tmean_ma14_completed,0.9422002497051369
climatology_tmax_p90_doy,tmean_ma7,0.9421592882156574
tmin_lag2,tmean_lag1,0.9416748497163805
tmin_lag3,tmean_lag2,0.941671478642176
MA_Tmax_3d_asof_23h,Temp_mean_last_6h,0.9415692665806591
climatology_tmax_p10_doy_plus1,tmax_min7_completed,0.9407908037640226
tmean_lag3,tmax_min7_completed,0.9407811562582792
SLP_mean_00_23h_x,SLP_max_00_23h_x,0.9403593007339441
tmax_ma3_completed,tmax_max7_completed,0.9403556332988209
tmin_lag7,tmax_ma14_completed,0.9401143149625015
climatology_tmax_p90_doy_plus1,tmean_ma14_completed,0.9400305326433742
climatology_tmax_doy_plus1,tmax_min7_completed,0.9398792391222685
tmax_ma14_completed,Temp_23h_ma3,0.9397072376687899
Temp_06h_x,Td_max_00_23h_x,0.9396453503888259
climatology_tmax_p90_doy_plus1,tmax_ma7_completed,0.9396424311221304
tmax_min7_completed,Temp_23h_ma3,0.9395166599797456
tmax_lag3,tmean_ma7,0.9394886081981615
tmin_lag3,tmax_ma14_completed,0.9393085071738644
tmean_lag1,tmax_ma7_completed,0.9391695907041179
tmean_lag1,tmean_ma7,0.939147112616121
tmax_ma3_completed,tmean_ma14_completed,0.9391193132092542
tmean_lag2,tmax_min7_completed,0.9388588211179558
climatology_tmax_p90_doy_plus1,tmean_ma7,0.9388072260984643
tmin_lag1,tmax_ma7_completed,0.93857553863289
tmean_ma14_completed,Temp_23h_ma3,0.9383583752631472
Tmean_so_far_23h_x,td_ma3,0.9382307331890843
tmax_max7_completed,tmean_ma3_completed,0.9380188527591263
Td_max_00_23h_x,Td_mean_last_6h,0.9377761895069575
tmean_lag3,tmax_ma14_completed,0.9377589438540341
tmin_lag2,tmean_ma14_completed,0.9377350012737613
MA_Tmax_3d_asof_23h,td_ma3,0.9376662590835434
tmax_lag2,tmax_ma7_completed,0.9374709199442763
Temp_06h_x,Temp_mean_last_6h,0.9372594223970326
MA_Tmax_3d_asof_23h,Temp_21h_x,0.9369424811265287
tmin_lag7,tmean_ma7,0.9368817103682652
tmax_max7_completed,tmean_ma14_completed,0.9367829193530108
MA_Tmax_3d_asof_23h,Temp_min_last_6h,0.9365942760189715
MA_Tmax_3d_asof_23h,tmin_ma7_completed,0.9364165300927996
tmean_lag3,tmean_ma14_completed,0.9363833653987124
Temp_06h_x,Temp_max_last_6h,0.9359839340953165
Temp_06h_x,Temp_18h_x,0.9358571417024519
tmin_lag2,tmax_ma14_completed,0.9356696548134623
climatology_tmax_p90_doy,tmin_ma7_completed,0.9355259054797468
climatology_tmin_doy_plus1,tmin_ma3_completed,0.9349577698793046
Tmean_so_far_23h_x,Td_mean_00_23h_x,0.9344949227816828
MA_Tmax_3d_asof_23h,tmax_min7_completed,0.9344209027753281
climatology_tmin_doy_plus1,tmean_ma3_completed,0.9338984231029227
MA_Tmax_3d_asof_23h,tmax_ma14_completed,0.9338105042131143
Temp_06h_x,Temp_21h_x,0.9336182647159719
tmin_lag1,tmax_min7_completed,0.9336126689976197
Tmin_so_far_23h_x,Td_min_00_23h_x,0.9334993801728411
Temp_06h_x,Temp_min_last_6h,0.9334490438020212
Tmean_so_far_23h_x,tmax_lag1,0.9333347740916315
tmean_lag2,tmax_ma14_completed,0.9332831148605658
Temp_23h_x,MA_Tmax_3d_asof_23h,0.9332405454554308
tmax_lag1,tmin_ma3_completed,0.9330514042467684
tmean_lag1,tmin_ma7_completed,0.932895477593269
tmax_lag2,Temp_23h_ma3,0.9327990074246424
climatology_tmax_p90_doy,tmax_min7_completed,0.932707110207438
tmin_ma3_completed,td_ma3,0.932680398045557
Temp_06h_x,tmax_lag1,0.9326634975086527
climatology_tmean_doy_plus1,tmean_ma3_completed,0.9324032957156215
tmax_lag2,tmean_ma7,0.9323343729413056
Td_min_00_23h_x,Td_max_00_23h_x,0.9320214627459111
climatology_tmean_doy_plus1,tmin_ma3_completed,0.931828294587697
Tmin_so_far_23h_x,tmax_lag1,0.9316947157443407
climatology_tmax_p90_doy_plus1,tmin_ma7_completed,0.9315989360407424
climatology_tmax_doy,tmean_ma3_completed,0.931372653619723
climatology_tmin_doy_plus1,Temp_23h_ma3,0.9313640451989461
tmean_lag2,tmean_ma14_completed,0.931182264327314
Tmin_so_far_23h_x,tmean_ma3_completed,0.9310944526574624
tmax_lag2,tmean_lag1,0.9310048262293379
tmax_lag3,tmean_lag2,0.9310025685123947
Tmin_so_far_23h_x,tmin_ma3_completed,0.9309373703804271
Temp_23h_x,Temp_06h_x,0.9301392036708654
climatology_tmax_doy,tmin_ma3_completed,0.9299419411508735
climatology_tmean_doy_plus1,Temp_23h_ma3,0.9298867202944496
climatology_tmax_p10_doy,tmean_ma3_completed,0.9298645960169611
climatology_tmax_p90_doy_plus1,tmax_min7_completed,0.9297029003570796
climatology_tmax_doy_plus1,tmean_ma3_completed,0.9296758556794132
climatology_tmax_p10_doy,tmin_ma3_completed,0.9293302784031653
tmin_lag1,tmean_ma14_completed,0.9291279732322953
tmax_lag2,tmin_lag1,0.9289938376469212
tmax_lag3,tmin_lag2,0.9289914671345902
tmean_lag1,tmax_min7_completed,0.9289707956203317
climatology_tmax_doy,Temp_23h_ma3,0.9288216296111104
tmax_lag3,tmin_ma7_completed,0.9285686243051903
tmean_ma3_completed,td_ma3,0.9285093123858399
