feature,family,pearson,spearman,kendall,mutual_info,missing_rate,near_zero_variance,univariate_mae,univariate_lift,temporal_stability,drift_ks,corr_shift,perm_hist_gbr,perm_lightgbm,max_peer_corr,abs_pearson,abs_spearman,abs_kendall,perm_avg,gain_avg,n_abs_pearson,n_abs_spearman,n_abs_kendall,n_mutual_info,n_perm_avg,n_gain_avg,n_univariate_lift,n_temporal_stability,n_missing_rate,n_max_peer_corr,n_drift_ks,n_corr_shift,redundancy_penalty,drift_penalty,utility_score
WindSpd_mean_00_23h_x,wind,-0.4126771640093067,-0.3905326496249716,-0.2661887015878882,0.10722731100144944,0.0,0.0,7.634034676881795,0.09668103190276142,0.9452972721365603,0.11820151458019112,0.005105612959459216,0.019195087630236873,0.023528402145291682,0.8612246315798057,0.4126771640093067,0.3905326496249716,0.2661887015878882,0.021361744887764277,,0.43266402437172585,0.4123572063504842,0.33136338682536665,0.09626220604055169,0.007165941755140855,0.0,0.1563321528417875,0.5551712267977287,0.0,0.7215412679457569,0.4742661130705455,0.020438062975451,0.4329247607674541,0.29273489303250766,0.16223305900493676
dtr_ma7_completed,temperature_rolling_trend,0.37246519206036205,0.38919463653036873,0.2625446452464155,0.10596610429100028,0.0,0.0,7.703088259476734,0.08851006941526113,0.9038868909411301,0.037719277459488304,0.002852015017790366,0.0030854337134954336,0.0029937627842200774,0.6263120111778718,0.37246519206036205,0.38919463653036873,0.2625446452464155,0.0030395982488577557,,0.3897743224917532,0.4109368724008534,0.32681996226383997,0.09512997080041458,0.0016012038377137272,0.0,0.14384947218639815,0.1618188990514149,0.0,0.2501790142164175,0.15108687275449717,0.011351537311718363,0.15010740852985047,0.09519273857738564,0.16175067449588065
WindSpd_max_00_23h_x,temperature_rolling_trend,-0.35846034177201536,-0.33979407264991135,-0.23587357600395875,0.08187706296736685,0.0,0.0,7.739811326572614,0.08416470756160423,0.9486708358169893,0.09659580819507296,0.015555874659853197,0.003546459386159473,-0.00040590456226254903,0.8612246315798057,0.35846034177201536,0.33979407264991135,0.23587357600395875,0.001570277411948462,,0.3748368840964545,0.35849695361878514,0.29356636250490087,0.07350428385967221,0.0011549468823931863,0.0,0.13721111539130978,0.5872163103779684,0.0,0.7215412679457569,0.38750764280632943,0.06257360515784859,0.4329247607674541,0.25753402774693707,0.1429493563123131
WindSpd_change_last_6h,wind,-0.21248638176484985,-0.21016751455593338,-0.1430817324118004,0.024492782022536908,0.0,0.0,8.228030472511943,0.026394781987285464,0.9485248514530089,0.021113239688504537,0.003573208444751619,0.00933505330447799,0.012244024462415038,0.5016303945779612,0.21248638176484985,0.21016751455593338,0.1430817324118004,0.010789538883446515,,0.21914246466098358,0.2208951603498552,0.1778731070280732,0.021988140964645637,0.003954988541932159,0.0,0.04895669817510245,0.5858296221194071,0.0,0.0,0.08440474681610635,0.014259395213712158,0.0,0.056346606175148674,0.13773414698918454
HR_change_last_6h,humidity_dewpoint,0.27249967147082094,0.29937527830105143,0.2006027330069283,0.06875912046433807,0.0,0.0,8.110986369173993,0.040244359979023,0.9441034846745204,0.029073317386295594,0.013567092532230207,0.0003684684523899584,0.0002593674948143665,0.7709300143727406,0.27249967147082094,0.29937527830105143,0.2006027330069283,0.00031391797360216247,,0.283152061295378,0.31559140504949396,0.2495905291582363,0.061727787067380205,0.000773369813817757,0.0,0.0701145311167216,0.5438315804705999,0.0,0.540361243673209,0.11636871744195626,0.05455481906114273,0.32421674620392543,0.09164315808963085,0.1345612300245678
WindDir_cos_23h_x,wind,-0.3632797465948735,-0.3367399189698504,-0.23066802529529115,0.0975088432683755,0.011217948717948718,0.0,7.963495409461972,0.05769664925591089,0.9523427364662508,0.035540118507989604,0.03028878536763141,0.036454486557179866,0.040755892706728324,0.8936625931494528,0.3632797465948735,0.3367399189698504,0.23066802529529115,0.0386051896319541,,0.37997721485053265,0.3552548940480095,0.28707606028952,0.08753755245572971,0.012403060128120938,0.0,0.09677618255400697,0.6220952616444105,0.21428571428571427,0.7866294298575923,0.14233638370662122,0.12197682379434283,0.47197765791455537,0.13419255974170985,0.1338481400852652
dtr_ma3,temperature_rolling_trend,0.3183091881508461,0.3377608301647032,0.2303987794307414,0.08123788946364918,0.0,0.0,7.909479848290873,0.06408819488590799,0.9139538559933733,0.024396524635495243,0.006976200785363207,4.452115173734228e-05,0.002837025449728614,0.7468545938194014,0.3183091881508461,0.3377608301647032,0.2303987794307414,0.0014407733007329782,,0.33201205045896537,0.3563386164984523,0.28674036342880943,0.07293047247770348,0.0011156143493474561,0.0,0.10654046957841244,0.2574438129577291,0.0,0.4920528791754361,0.09758889244712564,0.027980288663568026,0.29523172750526167,0.06974545093370259,0.13224376527271364
WindSpd_23h_x,wind,-0.3406528929312574,-0.31207312662555564,-0.21566247370496824,0.07684446512558019,0.001736111111111111,0.0,7.909680949945624,0.06406439895794312,0.9494722590019584,0.12271168757541817,0.0010203758098178417,0.013342602675613869,0.02483440260829468,0.8443253880106669,0.3406528929312574,0.31207312662555564,0.21566247370496824,0.019088502641954275,,0.3558436307192593,0.3290704846902719,0.2683670763260129,0.06898632135701507,0.006475520617811114,0.0,0.10650411682680717,0.5948289347059051,0.033163265306122444,0.6876322105207404,0.4923768706046013,0.003966352775378001,0.41257932631244426,0.297012663472912,0.12678184313592833
Temp_23h_trend_3d,temperature_rolling_trend,0.20728000788709255,0.1777812208540906,0.12037417541859265,0.0488284508968464,0.00020032051282051281,0.0,8.344510533456326,0.012611945923569647,0.9737545623305589,0.02230159077392868,0.006668335890908789,-0.0008101890517382415,-0.00019695510004789086,0.7508932439804299,0.20728000788709255,0.1777812208540906,0.12037417541859265,-0.0005035720758930662,,0.2135893964409967,0.18651630962485977,0.1495612307815297,0.04383523523041301,0.000525084612023467,0.0,0.027900826070421995,0.8254836705865083,0.003826530612244898,0.5001566040356398,0.0891766121960429,0.026738974845917463,0.30009396242138386,0.06420155725599272,0.12486597182357197
tmax_trend_7d,temperature_rolling_trend,0.1385225077803479,0.13136404576473876,0.08884802043563998,0.02762612791534025,0.0,0.0,8.438674212643619,0.0014697595023719096,0.9651711802598693,0.017802130467571647,0.00438910226500086,0.002125255898693279,0.0011493987826726837,0.589839226340695,0.1385225077803479,0.13136404576473876,0.08884802043563998,0.0016373273406829814,,0.14025330923456308,0.1372433317360066,0.11025428998320032,0.024801069733560437,0.0011753110508578937,0.0,0.010879042515376434,0.7439511364736774,0.0,0.17699480627040864,0.07110887183912597,0.017549085889896215,0.10619688376224519,0.04968495745943407,0.11216855502582371
dtr_lag1,temperature_lags,0.21907252478644096,0.25647800172576185,0.17421617011246093,0.04347104910755206,0.0,0.0,8.175528561404555,0.032607220648099934,0.9337101832601419,0.01766762563072799,0.006155736528083128,0.0012359953082715868,0.0034229452931244355,0.7468545938194014,0.21907252478644096,0.25647800172576185,0.17421617011246093,0.002329470300698011,,0.2261671813571345,0.27005488637688,0.21669165309405844,0.03902568335350265,0.0013855262756229405,0.0,0.05844736564699113,0.4451068359428677,0.0,0.4920528791754361,0.07056876295864375,0.024672169947223255,0.29523172750526167,0.05221012575407555,0.10889209325990125
Temp_change_23h_1d,temperature_current,0.1862343414870091,0.14857427114909916,0.10082882971708414,0.04029586201604385,0.00013354700854700856,0.0,8.359956893182932,0.010784211269527411,0.9770332849378021,0.019007873407883846,0.016983294401128834,-0.0008098659964812071,0.001129302340241889,0.8431474158469985,0.1862343414870091,0.14857427114909916,0.10082882971708414,0.0001597181718803409,,0.19114229141190284,0.1555124110841874,0.12519201268983704,0.03617519208252476,0.0007265367925341562,0.0,0.025108617925530926,0.8566278699964832,0.0025510204081632655,0.6852685588235811,0.07595057482114084,0.06832897343903135,0.4111611352941486,0.07290193426829705,0.105114064739431
WindSpd_mean_last_6h,wind,-0.30421801975775276,-0.25618376798851256,-0.17078048923668718,0.06710120506672723,0.0,0.0,8.061526825228622,0.046096801851548234,0.9368001009243077,0.09074397395652545,0.013340169981552297,0.002731738902266656,0.003162623770619444,0.8443253880106669,0.30421801975775276,0.25618376798851256,0.17078048923668718,0.0029471813364430497,,0.31698254600472964,0.2697425499970436,0.21240803192747418,0.06023941071892863,0.0015731352982100858,0.0,0.0790552358452915,0.4744575994629627,0.0,0.6876322105207404,0.3640093975869163,0.05363986544750587,0.41257932631244426,0.23986158473115213,0.10102021086162269
Temp_change_23h_minus_06h,temperature_current,0.2743993324656994,0.2401934158821165,0.1639806971610149,0.04751918807263866,6.677350427350428e-05,0.0,8.123424193016833,0.03877261893059509,0.9340097386337368,0.024857713611365226,0.02495694542518917,0.005346086976453801,0.006096061024370681,0.8431474158469985,0.2743993324656994,0.2401934158821165,0.1639806971610149,0.005721074000412241,,0.28517822141124594,0.2527683962650089,0.20393002296304683,0.04265985811269889,0.0024156122191885732,0.0,0.06786617010135072,0.44795227711223057,0.0012755102040816328,0.6852685588235811,0.09944081292294772,0.10047880075477651,0.4111611352941486,0.09985600805567924,0.10013538662097585
